,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
179,0,50.22,33,2012-12-05,1,50.59,50.01,0,50.12,54.16,48.06,10,50.51,0.0,bear correction,4495100,5765920.0,0.779598052002109,1.52,1,3.02668259657507,2
180,0,50.04,33,2012-12-06,1,50.28,49.70,0,50.28,54.16,48.06,9,50.01,0.0,bear correction,3771900,5712482.0,0.6602909208291597,0.89,1,1.7785771382893685,1
181,0,50.45,33,2012-12-07,1,50.48,50.00,0,50.38,54.16,48.06,9,50.01,0.0,bear correction,4206200,5669740.0,0.7418682338167182,0.17,1,0.33696729435084244,1
182,0,50.75,33,2012-12-10,1,50.88,50.33,0,50.45,54.16,48.06,10,50.51,0.0,bear correction,4113500,5640770.0,0.7292444116672014,0.16,1,0.31527093596059114,1
183,0,51.28,33,2012-12-11,1,51.49,50.65,0,50.81,54.16,48.06,11,51.02,0.0,bear correction,4970400,5655270.0,0.8788970287890764,0.18,1,0.35101404056162244,1
184,1,51.74,33,2012-12-12,1,52.28,51.42,2,51.51,54.16,48.06,13,52.05,0.0,bear correction,7054000,5679588.0,1.2419914965663001,-0.71,0,-1.3722458446076538,1
185,0,50.93,33,2012-12-13,1,51.87,50.86,0,51.72,54.16,48.06,12,51.53,0.0,bear correction,4911800,5689336.0,0.8633344910548436,1.01,1,1.9831140781464756,1
186,2,50.62,34,2012-12-14,0,51.07,50.50,3,50.73,52.05,48.06,10,50.51,0.0,bear confirmed,3468700,5682136.0,0.6104570534742568,0.92,1,1.8174634531805611,1
187,0,50.91,34,2012-12-17,0,51.09,50.55,0,50.65,52.05,48.06,11,51.02,0.0,bear confirmed,6336900,5715616.0,1.108699394780895,0.46,1,0.9035552936554705,1
188,0,51.46,34,2012-12-18,0,51.83,51.01,0,51.15,52.05,48.06,11,51.02,0.0,bear confirmed,4637800,5670426.0,0.8178926944818607,-0.68,0,-1.3214146910221531,1
189,0,51.03,34,2012-12-19,0,51.62,50.98,0,51.62,52.05,48.06,11,51.02,0.0,bear confirmed,5537600,5659612.0,0.9784416316878259,-0.05,0,-0.09798157946306095,1
190,0,51.94,34,2012-12-20,0,51.99,50.99,0,51.02,52.05,48.06,11,51.02,0.0,bear confirmed,5025900,5639116.0,0.891256714704929,-1.50,0,-2.887947631882942,0
191,0,51.54,34,2012-12-21,0,52.00,50.98,0,51.86,52.05,48.06,11,51.02,0.0,bear confirmed,9440100,5726052.0,1.6486228207497942,-0.74,0,-1.4357780364765231,1
192,0,51.37,34,2012-12-24,0,51.56,51.07,0,51.32,52.05,48.06,12,51.53,0.0,bear confirmed,1713900,5677500.0,0.3018758256274769,-0.29,0,-0.5645318279151256,1
193,0,50.78,34,2012-12-26,0,51.37,50.68,0,51.32,52.05,48.06,11,51.02,0.0,bear confirmed,3232400,5641430.0,0.5729752917256795,-2.09,0,-4.11579361953525,0
194,0,50.98,34,2012-12-27,0,51.12,50.52,0,50.68,52.05,48.06,11,51.02,0.0,bear confirmed,3245700,5620666.0,0.5774582585053089,-2.20,0,-4.315417810906237,0
195,0,50.44,34,2012-12-28,0,51.17,50.38,0,50.66,52.05,48.06,10,50.51,0.0,bear confirmed,3137400,5599548.0,0.5602952238287805,-1.66,0,-3.291038858049167,0
196,0,50.80,34,2012-12-31,0,50.82,50.10,0,50.23,52.05,48.06,10,50.51,0.0,bear confirmed,4948700,5547890.0,0.8919967771531159,-2.66,0,-5.2362204724409445,0
197,0,51.08,34,2013-01-02,0,51.51,50.58,0,51.40,52.05,48.06,11,51.02,0.0,bear confirmed,5358100,5529948.0,0.9689241200821418,-2.03,0,-3.9741581832419732,0
198,3,48.69,34,2013-01-03,0,50.12,48.56,3,50.05,52.05,48.06,7,49.03,0.0,bear confirmed,14413200,5710522.0,2.523972414430765,1.05,1,2.1565003080714726,2
199,0,48.78,34,2013-01-04,0,49.38,48.76,0,48.89,52.05,48.06,7,49.03,0.0,bear confirmed,10458000,5805586.0,1.8013685440195013,0.69,1,1.4145141451414514,1
200,3,48.78,34,2013-01-07,0,49.01,48.28,1,48.59,52.05,48.06,6,48.54,0.0,bear confirmed,7804500,5847204.0,1.3347405016141047,1.19,1,2.4395243952439523,2
201,0,48.14,34,2013-01-08,0,48.93,48.10,0,48.70,52.05,48.06,6,48.54,0.0,bear confirmed,8196200,5899980.0,1.3891911498005078,2.08,1,4.320731200664728,2
202,0,49.05,34,2013-01-09,0,49.17,48.23,0,48.32,52.05,48.06,6,48.54,0.0,bear confirmed,5154300,5912166.0,0.8718124626405956,1.20,1,2.4464831804281344,2
203,0,49.74,34,2013-01-10,0,49.81,49.01,0,49.19,52.05,48.06,7,49.03,0.0,bear confirmed,6506500,5948258.0,1.0938496615311575,1.21,1,2.43264977885002,2
204,4,49.47,35,2013-01-11,1,50.01,49.01,3,50.01,52.05,48.54,9,50.01,0.0,bear correction,10182500,6084974.0,1.67338430698307,1.63,1,3.294926217909844,2
205,1,49.97,35,2013-01-14,1,50.97,49.26,1,49.51,52.05,48.54,10,50.51,0.0,bear correction,7119900,6144218.0,1.158796774463406,2.49,1,4.9829897938763255,2
206,0,50.22,35,2013-01-15,1,50.43,49.83,0,49.84,52.05,48.54,9,50.01,0.0,bear correction,5802900,6163602.0,0.9414787002794794,2.14,1,4.2612504978096375,2
207,0,50.25,35,2013-01-16,1,50.38,49.95,0,50.24,52.05,48.54,9,50.01,0.0,bear correction,6474500,6194128.0,1.0452641598623729,2.40,1,4.776119402985074,2
208,1,50.95,35,2013-01-17,1,51.07,49.80,1,50.35,52.05,48.54,11,51.02,0.0,bear correction,14438900,6359914.0,2.2702979945955244,1.53,1,3.002944062806673,2
209,0,51.10,35,2013-01-18,1,51.16,50.78,0,50.95,52.05,48.54,11,51.02,0.0,bear correction,7023900,6402776.0,1.0970085475425035,1.17,1,2.289628180039139,2
210,1,52.46,35,2013-01-22,1,52.53,51.10,2,51.18,52.05,48.54,13,52.05,0.0,bear correction,9330000,6313124.0,1.477873711968908,0.25,1,0.47655356462066334,1
211,1,52.36,35,2013-01-23,1,52.68,51.93,1,52.55,52.05,48.54,14,52.57,1.0,bull confirmed,6665700,6269516.0,1.0631921188174653,0.16,1,0.30557677616501144,1
212,0,52.65,35,2013-01-24,1,52.86,52.35,0,52.47,52.05,48.54,14,52.57,1.0,bull confirmed,4221700,6182234.0,0.6828761253618029,-0.95,0,-1.8043684710351378,1
213,0,52.48,35,2013-01-25,1,52.80,52.18,0,52.78,52.05,48.54,14,52.57,1.0,bull confirmed,5604700,6175448.0,0.9075778793700473,-0.25,0,-0.4763719512195122,1
