open,high,low,close,volume,50ma,label
60.27,60.32,59.52,59.69,82809300,133286748.0,0
59.4,59.66,58.31,58.45,110709900,131117084.0,0
58.35,58.59,56.48,56.63,97433000,129611720.0,1
56.46,57.85,56.3,56.75,132379800,129990924.0,1
56.96,57.74,56.82,57.04,90804000,129442390.0,1
57.27,57.44,56.15,56.48,89611900,128926896.0,1
56.05,56.11,55.42,55.88,95923800,126537824.0,1
56.1,56.45,55.79,56.28,75207300,120737708.0,1
56.3,56.58,55.82,56.38,76653500,116230646.0,1
56.53,57.71,56.25,57.53,93982000,114182698.0,0
57.27,57.83,56.94,57.35,82091100,112968730.0,0
57.33,57.33,56.66,56.75,59653300,112076020.0,0
56.38,56.5,55.4,55.44,79380000,112066948.0,0
55.66,56.33,55.53,56.28,76442800,110898382.0,0
55.49,55.54,52.57,53.19,236264000,113238076.0,1
53.48,53.58,51.46,51.77,166574800,113702834.0,2
51.23,52.76,50.85,51.57,152318600,113780674.0,2
51.84,53.11,51.66,52.64,107480100,112407372.0,2
53.34,53.92,52.66,53.63,166059600,112562772.0,2
51.96,54.83,51.83,53.54,242412800,114823576.0,2
54.3,54.66,53.74,53.92,96209400,113702498.0,2
54.11,55.3,53.91,55.09,191024400,115146948.0,2
55.52,57.26,55.46,56.79,160081600,116572204.0,2
57.45,58.79,57.05,58.46,172884600,118071170.0,2
58.69,58.75,57.36,58.0,126727300,118426798.0,2
58.33,59.23,58.18,58.83,105457100,118154428.0,2
59.59,59.84,59.31,59.42,90325200,117725020.0,1
60.17,61.03,59.99,60.83,124160400,118554954.0,1
61.4,61.5,59.91,60.56,120938300,119110824.0,0
60.61,61.45,60.19,61.25,118149500,118966316.0,0
61.12,61.54,60.55,60.71,99621900,118022002.0,0
60.87,61.1,59.88,60.21,83713000,118083686.0,0
60.01,60.86,60.01,60.44,79237200,116906188.0,0
60.32,60.5,58.77,59.0,111779500,116228000.0,1
58.37,58.62,56.14,57.0,185403400,116743900.0,2
56.26,58.2,55.68,57.76,150801000,117458670.0,1
58.36,58.5,57.29,57.59,106976100,117255824.0,2
57.41,59.25,57.17,58.87,112894600,117556306.0,1
58.24,59.21,57.71,58.44,114005500,117465236.0,1
59.02,59.59,58.25,58.66,110759600,117350870.0,2
57.94,59.3,57.92,58.77,88255300,117088230.0,1
58.6,59.24,58.53,59.17,69041700,116949686.0,1
59.8,59.96,58.6,58.67,96536300,115660608.0,1
58.48,59.48,58.4,59.14,82644100,114282504.0,1
59.23,60.41,59.08,60.02,88379900,113416226.0,0
60.14,60.76,59.75,59.78,96075700,113794436.0,1
59.91,60.13,58.81,59.91,93088100,113739920.0,0
60.24,60.4,59.46,59.72,73182200,113228038.0,0
59.23,59.91,58.98,59.16,72647400,112175308.0,0
59.21,59.41,57.69,58.28,104233500,112788508.0,1
58.02,58.91,57.52,58.72,101133900,113155000.0,0
59.11,59.69,58.06,58.34,112538300,113191568.0,1
57.92,58.85,57.6,58.16,71528100,112673470.0,1
58.42,58.65,57.35,57.44,66306800,111352010.0,0
57.49,58.1,56.99,57.95,71458100,110965092.0,0
57.87,57.99,56.95,57.16,67966500,110532184.0,0
57.34,57.91,57.2,57.42,64853600,109910780.0,0
57.36,57.8,57.18,57.39,48756400,109381762.0,0
57.34,57.37,56.22,56.22,77735000,109403392.0,0
55.73,56.62,55.18,55.4,89327700,109310306.0,0
55.62,55.82,54.24,54.96,120279600,110074076.0,0
54.15,54.32,52.91,53.5,120186500,111284740.0,1
53.92,54.2,53.01,53.52,78540700,111267954.0,2
53.68,53.8,52.59,52.91,91931000,111577718.0,2
53.07,53.35,52.31,52.34,84311500,108538668.0,2
52.02,53.2,51.69,52.7,144629100,108099754.0,2
53.52,54.8,53.33,54.39,97763400,107008650.0,2
54.49,56.04,54.42,55.62,117466300,107208374.0,1
55.94,56.22,55.49,55.93,60232200,105091826.0,1
55.88,56.26,55.21,55.48,68506200,101613694.0,2
55.84,55.96,54.58,55.17,74534600,101180198.0,2
54.97,56.29,54.55,56.14,88146100,99122632.0,1
55.77,56.46,55.59,55.92,70351400,97328028.0,2
56.22,56.92,55.98,56.79,81573100,95501798.0,1
56.84,57.13,56.28,56.69,69890800,94365068.0,1
56.49,57.35,56.46,56.81,60479300,93465512.0,1
56.69,57.25,56.38,57.18,54134500,92741698.0,0
57.11,57.45,56.92,57.2,49747600,91253442.0,2
57.6,57.8,57.24,57.39,54719700,89929070.0,1
57.57,57.68,56.4,56.48,67180400,88909688.0,2
57.08,57.12,56.55,56.66,51949100,87956232.0,2
56.62,56.75,55.65,55.69,92348900,88128950.0,2
58.34,59.09,57.85,58.55,147984200,89503890.0,2
58.58,58.67,57.93,58.28,57373400,88415768.0,2
57.86,58.62,57.73,58.62,50038100,85708462.0,2
58.59,59.81,58.51,59.52,62014400,83932730.0,2
59.81,60.76,59.71,60.25,77355600,83340320.0,2
60.48,60.79,59.74,60.15,80739400,82697216.0,2
60.58,60.72,60.24,60.7,51562700,81448360.0,1
60.88,61.52,60.7,61.48,68695900,80607086.0,1
