,action,close,column_index,date,direction,high,low,move,open,prior_high,prior_low,scale_index,scale_value,signal,status,volume,50ma,volume_ratio,window_delta,window_direction,pct_change,label
221,0,81.40,31,2013-02-06,1,81.54,80.75,0,80.75,75.96,73.73,25,81.44,1.0,bull confirmed,3344700,4188080.0,0.7986237130140781,0.60,1,0.7371007371007371,1
222,0,81.92,31,2013-02-07,1,81.92,80.70,0,81.55,75.96,73.73,25,81.44,1.0,bull confirmed,3780700,4204886.0,0.8991206895977679,0.26,1,0.3173828125,1
223,0,82.05,31,2013-02-08,1,82.78,81.74,0,82.06,75.96,73.73,26,82.26,1.0,bull confirmed,3849300,4176654.0,0.9216229067574188,1.12,1,1.365021328458257,1
224,0,81.61,31,2013-02-11,1,82.26,81.39,0,82.03,75.96,73.73,26,82.26,1.0,bull confirmed,3079000,4152858.0,0.7414171156345822,1.78,1,2.1811052567087366,2
225,0,81.95,31,2013-02-12,1,82.04,81.56,0,81.79,75.96,73.73,25,81.44,1.0,bull confirmed,3315100,4134988.0,0.8017193762110072,0.66,1,0.8053691275167785,1
226,0,82.00,31,2013-02-13,1,82.30,81.54,0,82.30,75.96,73.73,26,82.26,1.0,bull confirmed,3574700,4049808.0,0.8826838210601589,-0.08,0,-0.0975609756097561,1
227,0,82.18,31,2013-02-14,1,82.46,81.36,0,81.75,75.96,73.73,26,82.26,1.0,bull confirmed,3629400,4056128.0,0.8947942471243511,0.73,1,0.888293988805062,1
228,1,83.17,31,2013-02-15,1,83.17,82.32,1,82.51,75.96,73.73,27,83.08,1.0,bull confirmed,4419900,4066284.0,1.086962937168186,-2.20,0,-2.6451845617410124,0
229,0,83.39,31,2013-02-19,1,83.84,83.04,0,83.40,75.96,73.73,27,83.08,1.0,bull confirmed,4422100,4071550.0,1.0860974321818473,-1.66,0,-1.990646360474877,1
230,0,82.61,31,2013-02-20,1,83.55,82.56,0,83.39,75.96,73.73,27,83.08,1.0,bull confirmed,3019800,4068812.0,0.7421822389434557,0.37,1,0.44788766493160637,1
231,0,81.92,31,2013-02-21,1,82.29,81.10,0,82.26,75.96,73.73,26,82.26,1.0,bull confirmed,3785200,4069022.0,0.9302481038441178,1.04,1,1.26953125,1
232,0,82.91,31,2013-02-22,1,82.91,82.16,0,82.36,75.96,73.73,26,82.26,1.0,bull confirmed,3649200,4085182.0,0.8932772150665502,-0.33,0,-0.3980219515136895,1
233,0,80.97,31,2013-02-25,1,83.33,80.97,0,83.28,75.96,73.73,27,83.08,1.0,bull confirmed,4001000,4090304.0,0.9781669039758414,0.69,1,0.8521674694331234,1
234,0,81.73,31,2013-02-26,1,82.03,81.24,0,81.55,75.96,73.73,25,81.44,1.0,bull confirmed,2607100,4068960.0,0.6407288348865557,1.66,1,2.031077939557078,2
235,0,82.98,31,2013-02-27,1,83.16,81.00,0,81.64,75.96,73.73,27,83.08,1.0,bull confirmed,3362100,4054910.0,0.8291429402872074,0.46,1,0.554350445890576,1
236,0,82.96,31,2013-02-28,1,83.67,82.67,0,83.14,75.96,73.73,27,83.08,1.0,bull confirmed,3836600,4038190.0,0.9500791196055659,1.07,1,1.2897782063645131,1
237,0,82.58,31,2013-03-01,1,83.15,81.80,0,82.70,75.96,73.73,27,83.08,1.0,bull confirmed,2707800,3976622.0,0.6809296935942114,1.78,1,2.1554855897311698,2
238,0,81.66,31,2013-03-04,1,82.19,81.08,0,82.04,75.96,73.73,25,81.44,1.0,bull confirmed,3145400,3918814.0,0.802640798976425,3.47,1,4.249326475630664,2
239,0,83.39,31,2013-03-05,1,83.64,82.01,0,82.18,75.96,73.73,27,83.08,1.0,bull confirmed,3362800,3836776.0,0.8764650320998671,1.95,1,2.3384098812807292,2
240,1,83.44,31,2013-03-06,1,84.16,83.28,1,83.92,75.96,73.73,28,83.91,1.0,bull confirmed,2564700,3805346.0,0.6739728792073046,1.84,1,2.205177372962608,2
241,0,84.03,31,2013-03-07,1,84.19,83.54,0,83.56,75.96,73.73,28,83.91,1.0,bull confirmed,2526400,3712510.0,0.6805099514883461,1.59,1,1.8921813637986433,1
242,1,84.36,31,2013-03-08,1,85.13,84.19,1,84.32,75.96,73.73,29,84.75,1.0,bull confirmed,3120800,3750658.0,0.8320673332519254,1.10,1,1.3039355144618303,1
243,0,85.13,31,2013-03-11,1,85.30,84.21,0,84.44,75.96,73.73,29,84.75,1.0,bull confirmed,2568300,3758428.0,0.6833442066736413,-0.13,0,-0.15270762363444143,1
244,0,85.34,31,2013-03-12,1,85.43,84.52,0,85.08,75.96,73.73,29,84.75,1.0,bull confirmed,3027400,3759908.0,0.805179275663128,-0.03,0,-0.035153503632528706,1
245,1,85.28,31,2013-03-13,1,85.60,84.94,1,85.38,75.96,73.73,30,85.60,1.0,bull confirmed,3825700,3792172.0,1.0088413711192425,0.34,1,0.398686679174484,1
246,0,85.62,31,2013-03-14,1,85.62,85.18,0,85.56,75.96,73.73,30,85.60,1.0,bull confirmed,3268900,3783974.0,0.8638801429396714,-0.93,0,-1.0861948142957254,1
247,0,85.46,31,2013-03-15,1,85.67,85.21,0,85.48,75.96,73.73,30,85.60,1.0,bull confirmed,5577800,3805826.0,1.4655951165397472,0.29,1,0.33934004212497076,1
248,0,85.00,31,2013-03-18,1,85.74,84.86,0,85.18,75.96,73.73,30,85.60,1.0,bull confirmed,2980200,3789698.0,0.7863951164446349,0.02,1,0.023529411764705882,1
249,0,85.31,31,2013-03-19,1,85.81,84.73,0,85.21,75.96,73.73,30,85.60,1.0,bull confirmed,3701100,3786602.0,0.9774198608673422,-0.42,0,-0.49232211932950415,1
250,0,85.62,31,2013-03-20,1,86.12,85.53,0,85.96,75.96,73.73,30,85.60,1.0,bull confirmed,3012000,3779272.0,0.7969788890558817,-0.77,0,-0.8993225881803317,1
251,0,84.69,31,2013-03-21,1,85.49,84.55,0,85.22,75.96,73.73,29,84.75,1.0,bull confirmed,2222500,3727110.0,0.5963065216749707,0.91,1,1.07450702562286,1
