open,high,low,close,volume,prior_high,50ma,next_close
118.88,118.92,117.24,117.62,42884953,122.47,44407249.0,114.85
96.43,97.71,96.06,96.47,66331592,98.39,57553821.0,95.59
125.26,126.23,124.58,124.69,35390887,128.71,46087137.0,123.31
95.81,96.94,95.41,95.66,56239822,99.37,35318984.0,101.87
108.02,109.41,107.28,108.67,46464828,108.68,50122715.0,108.78
58.29,60.4,58.26,60.17,151549300,63.51,137737740.0,60.01
79.77,79.95,78.55,78.63,99367800,80.63,104461784.0,78.57
71.89,72.11,71.45,71.92,64785000,74.46,87382162.0,72.07
74.4,74.51,72.73,72.8,98116900,76.72,78810466.0,73.2
107.18,108.5,104.76,106.02,67091928,108.68,47834048.0,105.61
113.29,115.0,112.49,113.3,26374377,111.98,33008962.0,115.19
80.38,80.68,79.81,80.19,84344400,73.73,68048554.0,79.89
126.73,126.91,125.71,126.13,44633240,124.93,48670655.0,126.12
88.61,89.19,88.31,88.92,82416600,88.19,96576620.0,86.61
107.32,108.98,104.58,104.93,76845860,110.87,59931449.0,109.43
69.52,70.58,69.17,70.23,88540900,71.56,92852564.0,69.93
121.52,121.93,120.14,120.72,42162332,128.71,44882930.0,119.05
109.26,111.19,109.16,111.03,29998719,111.98,33290199.0,112.12
79.03,79.33,77.88,78.19,141283100,79.84,106063594.0,74.82
108.89,111.25,108.86,111.25,49915473,110.87,62580573.0,112.32
113.55,114.62,111.65,114.1,62739100,115.37,55315514.0,114.12
97.22,97.8,95.9,96.32,40382921,99.37,35082043.0,95.66
114.72,114.84,113.55,114.39,24814402,97.42,53887031.0,110.68
80.58,80.86,79.57,80.19,70716100,73.73,68834430.0,80.05
114.48,115.72,114.36,115.61,38889797,115.37,55078971.0,117.83
79.48,79.57,78.48,78.98,73406200,80.63,106216992.0,78.89
79.38,79.41,75.24,75.49,262696700,83.08,169259426.0,79.34
96.14,96.27,94.4,94.57,63688562,97.42,58129879.0,93.41
98.66,98.66,96.99,98.14,94623904,97.42,62005019.0,98.63
65.97,66.98,65.2,65.37,82982200,68.09,85033886.0,66.72
102.89,104.56,102.87,104.23,38303493,96.45,48806352.0,104.06
115.8,117.38,115.75,116.64,27779423,111.98,34416788.0,116.95
80.32,81.31,80.06,81.01,75525800,79.05,99296400.0,80.79
94.42,97.09,94.1,96.21,114602142,109.77,35617877.0,93.27
54.15,54.32,52.91,53.5,120186500,60.42,111284740.0,53.52
62.59,63.22,61.83,62.72,158289600,60.42,151022270.0,63.37
57.34,57.91,57.2,57.42,64853600,60.42,109910780.0,57.39
116.52,117.8,116.49,117.26,18296855,111.98,32319427.0,116.76
108.21,109.13,107.81,108.8,25368072,99.37,34048301.0,107.96
127.22,127.41,126.11,126.58,32112797,124.93,46992239.0,126.02
69.91,70.27,69.78,69.95,55931400,71.56,82116188.0,70.48
114.28,114.7,107.02,110.68,83814037,114.23,54146541.0,110.26
112.88,113.19,109.96,110.92,43825812,117.69,37562374.0,111.02
93.22,94.57,92.96,94.36,55318000,91.77,57502340.0,93.75
69.05,69.52,68.75,69.38,64441300,75.21,92499386.0,70.35
74.34,74.75,73.82,74.43,69134100,76.72,131489960.0,74.76
108.54,108.81,107.79,108.66,25355976,99.37,34050235.0,108.52
106.08,106.89,105.75,106.27,24970300,99.37,32550904.0,105.46
89.45,89.64,88.71,89.08,28465000,89.96,69196086.0,89.61
80.11,80.42,78.85,79.37,226444400,80.63,186766230.0,79.08
72.65,72.88,69.58,70.0,196760200,77.49,153543124.0,69.55
87.97,88.64,87.66,88.38,97799100,88.19,95943274.0,88.92
73.95,74.02,73.17,73.27,80077200,76.72,79893898.0,73.88
113.73,114.28,113.13,113.2,32525579,120.05,50894087.0,109.9
97.98,98.52,97.65,97.9,20848131,99.37,40188757.0,98.61
107.95,109.53,107.81,108.89,33049256,108.68,63761411.0,107.35
104.59,104.75,103.46,104.18,44205171,96.45,47893902.0,104.17
109.3,111.34,108.97,110.51,74285291,113.1,63294596.0,112.22
121.76,122.3,121.07,121.62,44370682,126.18,47112100.0,122.76
108.42,109.15,107.4,109.13,26404077,96.45,40027484.0,106.75
53.52,54.8,53.33,54.39,97763400,60.42,107008650.0,55.62
115.9,116.1,115.15,115.82,42246245,115.37,55752869.0,114.84
103.32,105.04,103.32,104.94,38167871,99.37,35667684.0,103.39
115.38,116.73,115.23,115.82,46524544,111.98,34036932.0,115.97
106.14,107.59,105.7,106.44,49996311,109.77,60884074.0,109.4
96.05,97.18,95.95,97.03,44102400,94.55,45773450.0,97.24
76.69,76.96,76.17,76.39,41888700,76.72,81379074.0,75.89
103.64,105.63,103.44,104.77,52282550,97.42,63387881.0,104.01
94.67,95.86,93.65,93.97,85594800,98.39,48271170.0,94.78
115.08,115.13,112.58,113.1,46361357,116.52,44193853.0,113.64
96.75,98.23,96.44,97.81,46827400,94.55,45779048.0,97.92
86.18,87.49,85.67,86.67,109335100,88.19,96213474.0,88.3
64.73,64.85,64.32,64.59,57010100,67.41,95885286.0,63.79
60.4,60.43,59.36,59.69,77165200,63.51,136522470.0,59.78
91.6,94.12,91.51,93.45,54021375,95.5,50785311.0,93.43
57.57,57.68,56.4,56.48,67180400,60.42,88909688.0,56.66
122.37,123.24,121.27,121.36,50999452,128.71,44733568.0,120.72
108.13,108.19,104.87,104.98,95568749,109.77,51658696.0,110.91
113.24,113.52,112.45,113.39,37173489,110.87,63313771.0,110.97
111.36,112.5,111.14,112.5,41654089,108.68,58086609.0,115.99
106.1,106.22,104.48,105.15,32384879,109.77,35331549.0,105.37
123.37,124.42,123.36,124.0,35407220,126.18,46053488.0,122.76
118.55,120.63,118.29,120.59,73561797,115.37,56477451.0,122.12
61.97,62.4,61.63,62.17,114215500,67.41,89640642.0,63.19
57.15,57.39,56.84,57.11,75968900,63.51,136054366.0,58.58
92.59,92.86,90.84,91.1,56843000,94.55,56018022.0,91.61
111.56,111.65,110.27,110.61,38318895,114.23,52297078.0,108.11
93.56,93.71,92.04,92.51,46916939,109.77,39309416.0,93.57
66.8,67.61,66.26,67.48,215377400,72.27,148547322.0,59.14
108.23,108.23,100.82,101.05,103601599,114.23,56350358.0,106.84
105.26,105.96,104.96,105.46,24863945,108.68,32359945.0,105.56
87.14,87.54,85.73,87.53,178058300,89.07,99575546.0,89.25
91.42,93.4,90.69,92.9,61259756,109.77,39089394.0,92.51
65.55,65.64,64.29,64.35,72729300,66.08,95747792.0,65.1
112.69,113.06,109.83,109.9,45812403,120.05,50745657.0,111.69
111.13,111.87,110.95,111.79,11475922,117.69,35079016.0,111.57
108.88,109.1,107.66,108.16,39232609,108.68,60680258.0,108.83
73.29,73.44,72.79,72.94,40586000,73.0,77623476.0,72.0
104.68,104.7,102.54,102.97,40912316,106.54,42778862.0,103.06
74.75,75.57,74.17,74.82,219328200,79.05,108687026.0,74.8
121.79,123.03,121.04,122.05,48160032,124.93,50145623.0,122.19
67.38,67.85,67.06,67.21,83969900,57.49,85299634.0,67.29
89.7,90.3,89.07,89.44,45681000,87.32,72787536.0,87.95
58.48,59.48,58.4,59.14,82644100,61.03,114282504.0,60.02
122.63,124.44,121.98,124.2,37654505,123.69,50178184.0,125.22
107.71,108.91,107.62,108.0,26578652,96.45,40535293.0,109.13
94.95,95.75,92.87,94.2,52161463,96.45,46074817.0,99.21
87.2,88.39,87.15,87.86,35561000,89.96,72966612.0,87.75
92.25,93.16,91.07,92.16,50074711,94.55,52048000.0,92.44
57.87,57.99,56.95,57.16,67966500,60.42,110532184.0,57.42
121.15,122.4,121.06,122.18,28060431,126.18,46505095.0,121.88
53.07,53.35,52.31,52.34,84311500,60.42,108538668.0,52.7
65.74,65.88,65.16,65.51,69650700,66.08,95487532.0,65.94
65.63,65.87,64.32,64.68,80688300,66.08,94825920.0,64.63
58.36,58.5,57.29,57.59,106976100,61.03,117255824.0,58.87
104.16,104.5,101.39,102.2,64285491,109.77,47001938.0,102.21
123.89,125.94,123.74,125.22,45770902,123.69,49853432.0,125.8
96.33,96.43,94.52,94.98,51491286,98.39,57532709.0,95.67
123.55,125.04,123.3,125.04,45203456,124.93,50353925.0,124.86
111.36,111.51,110.33,111.23,27426394,117.69,36661761.0,111.79
111.61,113.24,111.53,112.52,38670405,122.47,47436890.0,116.62
70.18,70.76,69.97,70.3,66303300,71.56,92485778.0,70.1
96.54,97.24,96.28,96.49,55264139,98.39,57606824.0,94.98
96.53,97.95,94.33,94.35,81094428,103.41,44045071.0,94.85
55.94,56.22,55.49,55.93,60232200,60.42,105091826.0,55.48
60.19,60.41,59.35,60.16,142789500,67.41,156395918.0,59.97
124.07,124.6,123.92,124.04,37362381,115.37,56626493.0,125.05
114.53,115.18,112.97,113.11,68840440,97.42,54532431.0,114.46
109.22,111.56,109.1,109.84,56229271,107.61,59075318.0,104.93
76.38,76.38,75.11,75.6,139267100,77.49,147149394.0,70.73
66.63,67.23,65.06,65.37,106047200,68.09,85998402.0,65.68
107.41,110.34,107.05,109.65,62892831,110.87,62187040.0,111.25
108.14,108.6,106.34,106.75,31801870,109.77,39161981.0,106.87
59.45,60.47,59.43,59.78,95813900,63.51,136145212.0,60.99
77.74,78.66,76.8,77.8,127500800,82.26,128644922.0,77.96
96.99,97.49,96.34,97.28,60892400,98.39,54560250.0,97.48
55.66,56.33,55.53,56.28,76442800,57.49,110898382.0,53.19
65.02,65.37,64.74,65.05,59305400,67.41,95839478.0,64.59
95.22,95.88,94.55,94.57,42094183,98.39,56191485.0,96.54
127.86,127.95,127.12,127.78,30733309,124.93,47553903.0,126.33
71.1,71.23,70.22,70.86,60972100,73.73,74731062.0,71.8
110.12,111.99,110.01,111.73,29264571,117.69,39084252.0,111.8
104.26,104.44,103.33,103.46,19411372,96.45,44413286.0,105.91
57.41,59.25,57.17,58.87,112894600,61.03,117556306.0,58.44
97.47,98.94,97.43,98.61,26601354,99.37,39808761.0,97.8
121.91,123.29,121.77,122.97,33649200,126.18,43265681.0,124.61
90.87,91.18,89.92,90.64,55933000,94.55,55756916.0,90.49
76.95,77.37,74.22,74.56,257746300,80.63,182187614.0,74.39
64.94,66.88,64.65,66.44,172701200,72.27,151068274.0,65.99
74.11,74.67,71.9,72.47,173717600,79.84,173014506.0,74.24
88.86,88.98,88.02,88.3,106752100,88.19,96672240.0,88.18
93.21,93.44,92.7,93.38,28116000,94.55,47895914.0,93.84
56.49,57.35,56.46,56.81,60479300,60.42,93465512.0,57.18
60.39,61.14,59.11,59.14,365213100,67.41,151202016.0,57.75
86.81,89.15,86.29,89.04,148522500,91.77,106784468.0,87.18
96.96,100.82,96.53,97.6,23292504,99.37,40335634.0,97.99
123.96,124.15,122.26,122.49,36365123,123.69,53006739.0,121.96
123.7,123.8,122.32,122.55,32435057,123.69,50202890.0,124.2
100.7,101.14,99.3,100.19,35915810,96.45,49104591.0,99.37
109.61,112.43,106.79,112.25,101685610,116.52,50177993.0,112.16
111.12,111.38,108.74,109.73,68501622,114.23,50794012.0,103.02
86.93,87.03,85.11,85.28,148501500,89.07,106406090.0,83.4
116.75,117.38,116.15,116.74,37586787,115.37,35842682.0,116.38
112.92,113.51,111.45,113.26,43341155,110.87,63509237.0,113.39
61.69,62.54,61.16,61.66,118801900,63.51,151896612.0,61.61
75.21,75.99,74.72,75.99,105375200,76.72,121952740.0,77.1
111.35,112.73,110.89,111.08,42155776,114.23,53522017.0,110.61
69.66,70.51,69.58,69.98,51069200,71.56,90592586.0,70.06
124.04,125.42,123.97,124.97,39087250,128.71,46221131.0,124.69
59.23,60.41,59.08,60.02,88379900,61.03,113416226.0,59.78
106.96,108.23,106.69,107.4,62176190,108.68,32393166.0,111.2
103.27,103.91,102.79,103.35,28031588,109.77,33993696.0,102.63
81.47,83.26,81.36,82.79,149384200,80.63,156341766.0,81.77
70.56,70.82,68.61,69.0,197477700,72.27,139671042.0,69.27
80.23,81.15,79.85,79.89,114160200,73.73,69030500.0,80.08
66.64,67.49,66.42,67.37,116199300,75.21,90121150.0,67.49
83.46,83.7,81.48,83.09,209649300,89.07,109873652.0,83.75
95.0,95.56,94.04,94.1,34411901,100.37,41016213.0,94.91
54.3,54.66,53.74,53.92,96209400,57.49,113702498.0,55.09
80.6,81.18,80.3,80.66,61176500,79.05,98427084.0,81.12
92.5,92.59,91.49,91.54,28719109,109.77,37773657.0,89.39
108.16,108.34,107.21,107.45,24008505,99.37,34298398.0,107.38
123.75,124.04,121.46,121.48,49271416,128.71,51815840.0,120.72
69.48,70.71,67.95,69.01,183073100,79.84,170515632.0,73.03
97.5,98.31,97.45,97.8,31712936,99.37,39925251.0,96.32
61.12,61.54,60.55,60.71,99621900,57.49,118022002.0,60.21
123.84,123.94,122.57,122.76,54716887,126.18,46498147.0,123.74
70.43,70.7,67.97,69.56,133515900,70.15,96769708.0,70.24
113.03,113.08,111.6,112.03,57179298,97.42,54767299.0,114.1
113.03,113.38,111.57,112.16,48535789,116.52,50529038.0,112.95
103.11,104.07,102.62,103.64,40105934,109.77,46757427.0,107.62
60.17,61.03,59.99,60.83,124160400,57.49,118554954.0,60.56
66.42,67.22,65.44,66.62,122573500,57.49,85251348.0,67.21
98.78,99.94,98.09,98.39,32702028,100.37,35808787.0,97.63
62.68,63.6,62.35,63.24,101012800,67.41,86975098.0,62.2
111.56,112.2,110.27,110.52,36162258,117.69,33688231.0,109.49
104.31,107.04,102.33,106.84,96774611,107.61,57655967.0,109.99
67.48,68.74,67.43,67.93,127629600,57.49,85508122.0,67.04
56.1,56.45,55.79,56.28,75207300,61.64,120737708.0,56.38
90.27,90.81,89.33,90.73,41865000,94.55,53095488.0,91.93
116.35,116.51,115.64,116.29,26085854,111.98,33085392.0,116.52
115.59,116.52,115.59,116.52,14249484,111.98,32666533.0,117.26
